iso,region_dev,region_ar6_6,ssp,year,hdi
BFA,ldc,AFR,ssp1,2055,0.603873855
BFA,ldc,AFR,ssp2,2055,0.484556728
BFA,ldc,AFR,ssp3,2055,0.273847299
BFA,ldc,AFR,ssp4,2055,0.258844994
BFA,ldc,AFR,ssp5,2055,0.619231055
BFA,ldc,AFR,ssp1,2060,0.623863872
BFA,ldc,AFR,ssp2,2060,0.505920216
BFA,ldc,AFR,ssp3,2060,0.276858536
BFA,ldc,AFR,ssp4,2060,0.263545043
BFA,ldc,AFR,ssp5,2060,0.640653629
BFA,ldc,AFR,ssp1,2065,0.64388661
BFA,ldc,AFR,ssp2,2065,0.526783562
BFA,ldc,AFR,ssp3,2065,0.278499565
BFA,ldc,AFR,ssp4,2065,0.267106978
BFA,ldc,AFR,ssp5,2065,0.661897349
BFA,ldc,AFR,ssp1,2070,0.662990056
BFA,ldc,AFR,ssp2,2070,0.547470572
BFA,ldc,AFR,ssp3,2070,0.281395931
BFA,ldc,AFR,ssp4,2070,0.271930776
BFA,ldc,AFR,ssp5,2070,0.681736143
BGD,ldc,APC,ssp1,2030,0.592263819
BGD,ldc,APC,ssp2,2030,0.552135756
BGD,ldc,APC,ssp3,2030,0.496047845
BGD,ldc,APC,ssp4,2030,0.499519703
BGD,ldc,APC,ssp5,2030,0.597232621
BGD,ldc,APC,ssp1,2035,0.615974969
BGD,ldc,APC,ssp2,2035,0.568986458
BGD,ldc,APC,ssp3,2035,0.500821349
BGD,ldc,APC,ssp4,2035,0.507293569
BGD,ldc,APC,ssp5,2035,0.623845307
BGD,ldc,APC,ssp1,2040,0.638613022
BGD,ldc,APC,ssp2,2040,0.586275691
BGD,ldc,APC,ssp3,2040,0.504888407
BGD,ldc,APC,ssp4,2040,0.515196945
BGD,ldc,APC,ssp5,2040,0.649579461
BGD,ldc,APC,ssp1,2045,0.659787517
BGD,ldc,APC,ssp2,2045,0.603166696
BGD,ldc,APC,ssp3,2045,0.508771464
BGD,ldc,APC,ssp4,2045,0.523499243
BGD,ldc,APC,ssp5,2045,0.673062734
BGD,ldc,APC,ssp1,2050,0.678097756
BGD,ldc,APC,ssp2,2050,0.619222867
BGD,ldc,APC,ssp3,2050,0.511261276
BGD,ldc,APC,ssp4,2050,0.531340653
BGD,ldc,APC,ssp5,2050,0.689132302
BGD,ldc,APC,ssp1,2055,0.693611038
BGD,ldc,APC,ssp2,2055,0.633855582
BGD,ldc,APC,ssp3,2055,0.513315868
BGD,ldc,APC,ssp4,2055,0.538898627
BGD,ldc,APC,ssp5,2055,0.702435703
BGD,ldc,APC,ssp1,2060,0.707033794
BGD,ldc,APC,ssp2,2060,0.647903965
BGD,ldc,APC,ssp3,2060,0.515481392
BGD,ldc,APC,ssp4,2060,0.545013574
BGD,ldc,APC,ssp5,2060,0.716465341
BGD,ldc,APC,ssp1,2065,0.720305769
BGD,ldc,APC,ssp2,2065,0.661575251
BGD,ldc,APC,ssp3,2065,0.517129938
BGD,ldc,APC,ssp4,2065,0.550796733
BGD,ldc,APC,ssp5,2065,0.730396729
BGD,ldc,APC,ssp1,2070,0.732298656
BGD,ldc,APC,ssp2,2070,0.674410743
BGD,ldc,APC,ssp3,2070,0.518805107
BGD,ldc,APC,ssp4,2070,0.555875012
BGD,ldc,APC,ssp5,2070,0.742771141
BGR,developed,DEV,ssp1,2030,0.784475322
BGR,developed,DEV,ssp2,2030,0.774998214
BGR,developed,DEV,ssp3,2030,0.748593822
BGR,developed,DEV,ssp4,2030,0.746945021
BGR,developed,DEV,ssp5,2030,0.787295435
BGR,developed,DEV,ssp1,2035,0.792770507
BGR,developed,DEV,ssp2,2035,0.781793554
BGR,developed,DEV,ssp3,2035,0.752533481
BGR,developed,DEV,ssp4,2035,0.751561085
BGR,developed,DEV,ssp5,2035,0.79705418
BGR,developed,DEV,ssp1,2040,0.800041225
BGR,developed,DEV,ssp2,2040,0.78854109
BGR,developed,DEV,ssp3,2040,0.755615486
BGR,developed,DEV,ssp4,2040,0.756158524
BGR,developed,DEV,ssp5,2040,0.805878213
BGR,developed,DEV,ssp1,2045,0.806154784
BGR,developed,DEV,ssp2,2045,0.793114599
BGR,developed,DEV,ssp3,2045,0.758390915
BGR,developed,DEV,ssp4,2045,0.759813548
BGR,developed,DEV,ssp5,2045,0.812651116
BGR,developed,DEV,ssp1,2050,0.809752779
BGR,developed,DEV,ssp2,2050,0.797288933
BGR,developed,DEV,ssp3,2050,0.760212145
BGR,developed,DEV,ssp4,2050,0.763462576
BGR,developed,DEV,ssp5,2050,0.811806789
BGR,developed,DEV,ssp1,2055,0.811254614
BGR,developed,DEV,ssp2,2055,0.799181363
BGR,developed,DEV,ssp3,2055,0.76127438
BGR,developed,DEV,ssp4,2055,0.76631423
BGR,developed,DEV,ssp5,2055,0.809901967
BGR,developed,DEV,ssp1,2060,0.810269357
BGR,developed,DEV,ssp2,2060,0.801259231
BGR,developed,DEV,ssp3,2060,0.762798616
BGR,developed,DEV,ssp4,2060,0.768174228
BGR,developed,DEV,ssp5,2060,0.809912277
BGR,developed,DEV,ssp1,2065,0.810367083
BGR,developed,DEV,ssp2,2065,0.803441784
BGR,developed,DEV,ssp3,2065,0.76454489
BGR,developed,DEV,ssp4,2065,0.770369611
BGR,developed,DEV,ssp5,2065,0.811852269
BGR,developed,DEV,ssp1,2070,0.81133963
BGR,developed,DEV,ssp2,2070,0.805656914
BGR,developed,DEV,ssp3,2070,0.7664297
BGR,developed,DEV,ssp4,2070,0.772792663
BGR,developed,DEV,ssp5,2070,0.814626994
BHR,developing,MEA,ssp1,2030,0.810658689
BHR,developing,MEA,ssp2,2030,0.797844694
BHR,developing,MEA,ssp3,2030,0.766524658
BHR,developing,MEA,ssp4,2030,0.763540739
BHR,developing,MEA,ssp5,2030,0.815185812
BHR,developing,MEA,ssp1,2035,0.819401082
BHR,developing,MEA,ssp2,2035,0.805503022
BHR,developing,MEA,ssp3,2035,0.769841647
BHR,developing,MEA,ssp4,2035,0.767845793
BHR,developing,MEA,ssp5,2035,0.825721514
BHR,developing,MEA,ssp1,2040,0.827542755
BHR,developing,MEA,ssp2,2040,0.81312948
BHR,developing,MEA,ssp3,2040,0.773382683
BHR,developing,MEA,ssp4,2040,0.772061229
BHR,developing,MEA,ssp5,2040,0.835445715
BHR,developing,MEA,ssp1,2045,0.834588459
BHR,developing,MEA,ssp2,2045,0.819379256
BHR,developing,MEA,ssp3,2045,0.776640337
BHR,developing,MEA,ssp4,2045,0.776312519
BHR,developing,MEA,ssp5,2045,0.843060474
BHR,developing,MEA,ssp1,2050,0.838859863
BHR,developing,MEA,ssp2,2050,0.824121357
BHR,developing,MEA,ssp3,2050,0.779209805
BHR,developing,MEA,ssp4,2050,0.779538032
BHR,developing,MEA,ssp5,2050,0.842660109
BHR,developing,MEA,ssp1,2055,0.840687875
BHR,developing,MEA,ssp2,2055,0.826844918
BHR,developing,MEA,ssp3,2055,0.780556129
BHR,developing,MEA,ssp4,2055,0.782123339
BHR,developing,MEA,ssp5,2055,0.84046003
BHR,developing,MEA,ssp1,2060,0.839594762
BHR,developing,MEA,ssp2,2060,0.828891464
BHR,developing,MEA,ssp3,2060,0.781966223
BHR,developing,MEA,ssp4,2060,0.782696252
BHR,developing,MEA,ssp5,2060,0.83923237
BHR,developing,MEA,ssp1,2065,0.839155471
BHR,developing,MEA,ssp2,2065,0.830754893
BHR,developing,MEA,ssp3,2065,0.783267857
BHR,developing,MEA,ssp4,2065,0.783298772
BHR,developing,MEA,ssp5,2065,0.839081064
BHR,developing,MEA,ssp1,2070,0.839091152
BHR,developing,MEA,ssp2,2070,0.832542389
BHR,developing,MEA,ssp3,2070,0.784506763
BHR,developing,MEA,ssp4,2070,0.784081651
BHR,developing,MEA,ssp5,2070,0.839270182
BHS,developing,LAM,ssp1,2030,0.793972155
BHS,developing,LAM,ssp2,2030,0.771849631
